,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
192,misthub.com,subdomains,23.227.38.32,,69,108729,1453,1000,0,1,1300,761,28,103534,103393,5176,141,7216,0,0,0,1,66577,259701
193,aprilwears.com,subdomains,23.227.38.32,,,,1,0,0,0,1,1,1,3,3,3,0,0,0,0,0,0,89,16
194,decathlon.com.au,subdomains,23.227.38.32,,52,495389,593,414,3,1,550,467,170,1262322,1260725,250588,42,31628,4,0,46,1,69716,54265
195,outerknown.com,subdomains,23.227.38.32,,64,156935,1176,986,0,4,1069,895,59,20239,20026,3278,210,5353,0,0,0,9,13883,12167
196,royalelastics.jp,subdomains,23.227.38.32,,2,37752830,38,16,0,0,42,37,11,315,305,189,4,84,6,0,0,0,323,656
197,tesalate.com,subdomains,23.227.38.32,,38,1648026,590,474,0,0,469,380,6,3315,3313,360,1,968,0,1,0,0,2379,4582
198,tha-alumni.com,subdomains,23.227.38.32,,13,12589434,64,25,0,0,80,76,13,411,411,122,0,77,0,0,0,0,2056,2342
199,tortugabackpacks.com,subdomains,23.227.38.32,,71,79196,3462,2799,0,112,2825,2144,3580,119106,118051,4882,924,6080,118,1,0,334,138116,102644
200,sneakerpolitics.com,subdomains,23.227.38.32,,55,374655,1677,1427,1,5,1585,1328,20,221157,220741,4390,415,1052,0,1,39,367,53315,17039
201,hellotushy.com,subdomains,23.227.38.32,,53,439511,1028,786,0,0,937,776,260,7938,7805,2138,130,571,3,0,0,0,8136,132296
202,esfranki.co,subdomains,23.227.38.32,,2,40433159,86,34,0,0,77,70,11,515,490,225,13,3,0,12,0,0,10175,4282
203,takeyausa.com,subdomains,23.227.38.32,,41,1242089,809,631,0,3,715,612,106,36755,36667,1370,46,2956,0,41,0,62,5485,14689
204,beistravel.com,subdomains,23.227.38.32,,54,393262,383,259,0,0,360,300,11,1430,1423,376,7,85,0,0,0,0,8781,9909
205,thebeardclub.com,subdomains,23.227.38.32,,53,457338,511,356,0,0,508,443,74,2832,2730,962,91,590,0,0,0,0,12243,27206
206,5econds.com,subdomains,23.227.38.32,,10,15914580,57,22,0,0,47,44,15,202,201,148,1,14,0,0,0,0,3241,2573
207,undergroundshirts.com,subdomains,23.227.38.32,,54,394418,966,721,1,13,931,791,105,87154,85773,2370,64,8610,0,0,1,101,75521,161274
208,bag-all.com,subdomains,23.227.38.32,,34,2572422,335,185,0,4,312,276,52,37796,37767,563,6,187,0,23,0,1493,2526,622
209,bellsshoes.co.uk,subdomains,23.227.38.32,,36,2096846,294,180,0,0,292,264,24,5876,5748,1790,123,1139,0,0,0,0,3202,2062
210,eandeproject.com,subdomains,23.227.38.32,,0,125996470,13,6,0,0,16,15,0,544,544,531,0,12,0,0,0,0,288,27
211,kickgame.co.uk,subdomains,23.227.38.32,,30,3474903,374,266,1,1,400,333,10,15483,15367,1002,115,2539,0,1,79,9,27308,26589
212,lesarchives-shop.com,subdomains,23.227.38.32,,0,90568703,4,1,0,0,4,4,4,6,6,5,0,0,0,0,0,0,126,7
213,morphe.com,subdomains,23.227.38.32,,70,82073,4920,3999,0,14,3294,2161,65,138021,128726,26084,9291,7642,0,0,0,9456,201998,1023159
214,clearweatherbrand.com,subdomains,23.227.38.32,,28,4348378,195,146,0,0,176,159,24,909,907,159,2,43,0,0,0,0,1361,2513
215,aftershokz.com,subdomains,23.227.38.32,,64,156384,2799,2131,1,4,2513,1950,260,80965,80795,8051,143,3370,0,22,39,18,22308,34948
216,avdigital.in,subdomains,23.227.38.32,,0,115626533,18,1,0,1,24,24,5,76,76,69,0,0,0,0,0,1,2000,187
217,thefryecompany.com,subdomains,23.227.38.32,,70,96471,4368,3765,0,2,2366,1869,19,150501,139806,26391,318,14989,0,3278,0,5,76474,151642
218,qiomine.com,subdomains,23.227.38.65,,,,1,0,0,0,1,1,4,4,4,4,0,0,0,0,0,0,28,0
219,birddogs.com,subdomains,23.227.38.32,,29,3731859,270,145,0,0,271,241,11,1096,1064,578,32,41,0,0,0,0,6083,55734
220,unique-vintage.com,subdomains,23.227.38.32,,60,229847,3739,3052,0,2,2311,1763,22,160103,151615,25649,8475,45542,1,4,0,3,303124,351734
221,roolee.com,subdomains,23.227.38.32,,50,621575,861,648,0,1,572,445,76,16072,15808,6194,239,5984,4,21,0,1,32433,23959
222,littlekinggoods.com,subdomains,23.227.38.32,,13,13135601,41,15,0,0,38,37,7,228,226,66,2,10,0,0,0,0,1074,1189
223,tymestyle.com,subdomains,23.227.38.32,,46,896020,523,299,1,0,503,432,24,15858,15038,2349,820,1005,0,0,1,0,11426,15964
224,tluxe.com,subdomains,23.227.38.32,,13,12780265,202,60,0,1,111,101,180,817,812,453,4,37,0,0,0,14,207,175
225,mgemi.com,subdomains,23.227.38.64,,56,338589,1243,987,0,5,1058,880,11,35920,35727,7719,193,4425,0,0,0,12,12457,17528
226,tokersupply.com,subdomains,23.227.38.32,,29,3794943,216,95,0,0,227,202,14,8333,7994,3703,175,245,1,146,0,0,25621,68969
227,harney.com,subdomains,23.227.38.32,,66,131325,3491,3009,0,7,2244,1809,173,201130,200278,7163,828,17318,2,7,0,53,44137,66842
228,organifishop.com,subdomains,23.227.38.32,,53,469065,838,574,0,0,816,678,642,280585,279883,2925,409,14230,2,9,0,0,5589,11446
229,killstar.com,subdomains,23.227.38.32,,44,1035183,906,647,0,1,692,584,22,34681,34382,4780,298,5726,0,1,0,2,65528,130482
230,mohawkgeneralstore.com,subdomains,23.227.38.32,,54,397847,1143,1028,0,0,698,607,9,19654,19198,3411,455,704,0,0,0,0,5352,5559
231,perlescorner.com,subdomains,23.227.38.32,,21,7717582,238,222,0,2,230,204,32,43227,43226,582,1,12,0,0,0,29,2940,5137
232,mizzenandmain.com,subdomains,23.227.38.32,,55,377025,868,667,0,3,832,721,46,20936,20841,2379,93,4068,0,2,0,5,11830,14180
233,thrivecausemetics.com,subdomains,23.227.38.32,,57,306394,1173,837,0,1,1041,809,78,9275,8963,2525,253,818,0,0,0,1,13943,53255
234,elevatedfaith.com,subdomains,23.227.38.32,,32,3053869,200,106,0,1,189,173,24,14893,14841,5257,31,10995,0,0,0,1,7918,17425
235,bollandbranch.com,subdomains,23.227.38.64,,61,220666,1550,1120,0,1,1480,1173,109,16490,16104,6511,335,2106,0,0,0,1,43403,44283
236,willowsoul.com,subdomains,23.227.38.32,,27,4505299,245,137,0,0,244,204,28,1392,1392,806,0,0,0,0,0,0,31913,215855
237,mallormalls.com,subdomains,23.227.38.32,,,,7,0,0,0,8,8,0,18,10,10,8,0,0,0,0,0,88,2
238,brixtonbaker.com,subdomains,23.227.38.32,,28,4105422,290,245,0,1,293,251,9,41694,41692,348,2,69,0,0,0,39,8244,4107
239,cohina.net,subdomains,23.227.38.32,,51,543791,76,57,0,0,87,83,36,522,519,51,3,4,0,0,0,0,4097,2967
240,kindred.jp,subdomains,23.227.38.32,,3,37092701,14,7,0,0,15,15,4,20,20,9,0,0,0,0,0,0,22,52
241,mintcrew.com,subdomains,23.227.38.32,,4,29667160,30,20,0,0,32,31,5,86,86,22,0,8,0,0,0,0,122,3532
242,siberiahills.eu,subdomains,23.227.38.32,,9,17536063,78,47,0,0,56,50,0,149,145,60,4,0,0,0,0,0,331,1122
243,roadid.com,subdomains,23.227.38.32,,72,58632,5391,4833,4,24,3255,2465,122,509024,508764,8272,252,335744,0,0,33,249,19338,40339
244,wildone.com,subdomains,23.227.38.32,,53,440058,286,210,0,0,256,221,62,1473,1467,485,5,156,0,1,0,0,2556,1458
245,kontrolfreek.com,subdomains,23.227.38.32,,58,281679,1794,982,0,2,1854,1430,107,95160,94816,55671,332,14542,5,3,0,9,33345,57099
246,baboontothemoon.com,subdomains,23.227.38.32,,25,5629057,135,86,0,0,181,166,12,761,669,217,92,21,0,0,0,0,1506,845
247,shrevecrumpandlow.com,subdomains,23.227.38.32,,33,2614172,516,416,0,0,298,272,18,12089,7409,732,4677,643,1,2,0,0,12356,4468
248,dankstop.com,subdomains,23.227.38.32,,45,936006,436,221,0,0,449,381,82,1288156,1287762,1281649,340,1277610,1,53,0,0,37220,80381
249,ruffwear.com,subdomains,23.227.38.32,,71,67442,3585,3055,2,10,2780,2196,33,109918,109524,10163,382,9114,0,4,5,6604,38567,78373
250,cheznoir.ca,subdomains,23.227.38.32,,6,24204344,39,24,0,0,43,42,29,175,173,44,2,12,0,0,0,0,1011,586
251,magicspoon.com,subdomains,23.227.38.32,,39,1508048,450,356,0,0,469,407,11,2393,2391,873,2,38,0,0,0,0,2261,2646
252,kaylaitsines.com,subdomains,23.227.38.32,,71,74413,4263,3680,1,10,3114,2220,47,45175,44721,3333,277,1047,88,0,2,24,93622,145976
253,answellness.com.hk,subdomains,23.227.38.32,,27,4997805,13,10,0,0,12,12,29,57,57,13,0,2,0,0,0,0,259,268
254,molchanovs.com,subdomains,23.227.38.32,,27,4568294,58,39,0,0,60,56,51,618,613,71,5,114,0,0,0,0,928,290
255,embrlabs.com,subdomains,23.227.38.32,,60,225386,991,774,1,6,939,814,89,4136,4074,1166,58,547,0,0,2,30,3833,6258
256,katyperrycollections.com,subdomains,23.227.38.32,,43,1094903,739,554,0,0,711,579,10,13080,12708,5480,91,1765,0,0,0,0,7898,11975
257,naturalbabyshower.co.uk,subdomains,23.227.38.32,,40,1385963,480,333,6,0,433,359,108,3937,3893,1310,16,149,0,2,61,0,40191,45304
258,movophoto.com,subdomains,23.227.38.32,,40,1325937,453,330,0,2,459,414,105,48971,48751,822,220,57,0,0,0,20,16516,4303
259,mous.co,subdomains,23.227.38.32,,42,1196242,699,435,0,1,664,557,10,4711,4614,1795,97,145,0,0,0,4,21573,40328
260,ikonick.com,subdomains,23.227.38.32,,39,1520529,305,151,0,0,306,279,21,1179,1124,696,55,44,0,0,0,0,13681,8633
261,cutsclothing.com,subdomains,23.227.38.32,,26,5558379,126,46,0,0,118,106,10,295,294,212,1,9,0,0,0,0,4008,7933
262,groundcontrolcolor.com,subdomains,23.227.38.32,,53,462819,266,161,0,0,278,252,16,2613,2608,970,5,18,0,0,0,0,3246,3376
263,juicestore.com,subdomains,23.227.38.32,,40,1344161,364,288,1,1,372,346,189,191025,134505,345,364,243,0,0,2,5,12019,10541
264,femmeluxefinery.co.uk,subdomains,23.227.38.32,,59,269332,1098,915,0,1,740,537,113,62126,62019,4828,107,4844,0,0,0,1,42756,42683
265,alphadog.it,subdomains,23.227.38.64,,1,47176867,42,17,0,0,33,30,9,178,177,56,1,6,0,0,0,0,324,79
266,gouletpens.com,subdomains,23.227.38.32,,60,243926,2154,1673,0,6,1708,1355,385,461996,454360,15407,7511,4919,4,0,0,51,55748,192052
267,atoms.com,subdomains,23.227.38.32,,41,1286643,373,310,0,0,378,341,16,35734,35680,270,40,324,0,0,0,0,1580,1132
268,productlistgenie.io,subdomains,23.227.38.32,,13,12987907,43,7,0,0,35,29,0,171,171,86,0,2,0,0,0,0,16,74
269,shopsoko.com,subdomains,23.227.38.32,,55,363415,978,826,1,7,771,656,124,9013,8988,3145,25,2027,0,0,18,47,6136,14000
270,urbandictionary.store,subdomains,23.227.38.32,,56,328088,552,431,0,0,274,244,1,36121760,36121757,929,3,22951180,0,0,0,0,1961,118517
271,ghostlifestyle.com,subdomains,23.227.38.32,,33,2705145,329,155,0,0,300,262,6,3343,3252,1764,87,312,0,2,0,0,8466,31621
272,indestructibleshoes.com,subdomains,23.227.38.32,,15,11209092,181,93,0,0,179,168,20,1382,1176,643,206,146,0,0,0,0,3346,8115
273,aafnation.com,subdomains,23.227.38.32,,32,3085508,587,374,0,1,548,459,48,46474,46330,2157,144,64,0,0,0,19,27184,46811
274,breazy.com,subdomains,23.227.38.32,,60,241682,827,496,0,5,741,611,625,155986,155741,103429,242,103894,2,1,0,16,84534,106764
275,chilitechnology.com,subdomains,23.227.38.32,,54,400016,1265,957,0,4,1067,872,91,59727,59506,1487,221,320,0,0,0,13513,9508,12295
276,tula.com,subdomains,23.227.38.32,,53,449982,1165,862,0,0,927,735,143,13245,13002,3963,243,2656,0,0,0,0,12255,13090
277,frame-store.com,subdomains,23.227.38.32,,51,538575,1093,906,0,0,947,764,12,20338,20278,9319,54,12155,0,5,0,0,30567,30889
278,zplus.store,subdomains,,,,,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,33,1
279,perriconemd.com,subdomains,23.227.38.32,,64,166593,3450,2683,0,2,2125,1710,43,90046,88934,9652,1104,5545,4,0,0,5,23560,9669
280,goodamerican.com,subdomains,23.227.38.32,,55,363741,1457,1123,0,1,1383,1070,178,28075,27997,5265,74,5824,2,0,0,3,46243,91240
281,electricfireplacesdepot.com,subdomains,23.227.38.32,,29,4038190,44,14,0,0,33,32,8,206,206,106,0,29,0,0,0,0,1961,332
282,volcom.com,subdomains,23.227.38.32,,71,67648,5241,4445,1,16,3789,2999,283,946936,946509,24010,351,487302,4,7,4,71,143788,134589
283,hanon-shop.com,subdomains,23.227.38.32,,53,436037,2000,1629,1,6,1691,1402,34,134223,132862,41710,1000,9987,0,1,41,160,108023,59320
284,igloocoolers.com,subdomains,23.227.38.32,,63,183378,1945,1473,1,2,1772,1425,39,44394,42539,5067,1845,16553,10,0,23,2,31534,104418
285,charmeric.com,subdomains,23.227.38.32,,0,72242257,27,8,0,0,29,29,4,97,95,55,2,2,0,0,0,0,595,348
286,fancyplus.shop,subdomains,23.227.38.32,,,,3,0,0,0,4,4,2,48,48,48,0,0,0,0,0,0,13,0
287,aulitfinelinens.com,subdomains,23.227.38.32,,48,769038,463,339,0,1,373,343,4,2890,2842,719,48,49,0,0,0,2,24528,15659
288,faravillsoy.com,subdomains,23.227.38.32,,,,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,22,32
289,zag-store.com,subdomains,23.227.38.32,,6,23660014,40,14,0,0,49,47,14,327,281,162,46,1,0,0,0,0,5026,6067
290,ravpower.com,subdomains,23.227.38.32,,59,267237,2679,1733,2,18,2452,1636,252,59563,59364,9577,113,1376,4,26,4,888,40179,50397
291,olukai.com,subdomains,23.227.38.32,,60,238290,1258,1003,0,1,1122,958,168,31905,31748,4862,140,18759,10,5,0,2,30872,23960
292,labyrinthos.co,subdomains,23.227.38.32,,54,397911,572,330,0,0,504,423,39,2813,2809,1007,4,144,0,0,0,0,89084,563387
293,linusbike.com,subdomains,23.227.38.32,,54,401226,1219,1041,0,1,767,676,85,50553,49912,2314,12,4913,0,6,0,31,11353,15232
294,morelabs.com,subdomains,23.227.38.32,,52,529495,707,467,0,1,626,518,43,3658,3553,1355,106,118,0,0,0,3,1958,8345
295,topodesigns.com,subdomains,23.227.38.32,,68,119042,2027,1703,0,5,1643,1362,284,96175,96073,5316,53,3705,0,0,0,20,29430,53547
296,stephaniegottlieb.com,subdomains,23.227.38.32,,34,2442292,415,350,0,2,396,346,39,47330,47322,377,8,267,0,0,0,45,10405,7328
297,goorin.com,subdomains,23.227.38.32,,63,187586,2845,2432,0,2,2028,1638,19,41653,41568,8217,83,4938,2,0,0,4,35964,27619
298,altoessentials.com,subdomains,23.227.38.32,,6,22742542,27,18,0,0,27,27,9,71,71,25,0,2,0,0,0,0,51,6
299,ambsn.com,subdomains,23.227.38.32,,37,1863266,153,92,0,0,131,120,16,1127,1121,769,4,66,2,0,0,0,972,1773
300,another20.com,subdomains,23.227.38.32,,24,6341802,209,206,0,1,196,177,9,39407,39407,14,0,2,0,0,0,1,172,17
301,denimunspun.com,subdomains,23.227.38.32,,32,3022597,52,43,0,0,48,44,36,146,146,20,0,27,0,0,0,0,193,90
302,gxomens.com,subdomains,23.227.38.32,,22,7031299,22,17,0,0,43,43,569,106,104,79,0,7,2,0,0,0,15662,14908
303,hippopotamus.co.jp,subdomains,23.227.38.32,,34,2416940,116,102,0,0,119,112,14,590,585,34,2,36,0,0,0,0,505,2127
304,hotelchocolat.co.jp,subdomains,23.227.38.32,,22,7145772,104,63,0,0,125,115,13,311,309,171,2,4,0,0,0,0,849,1212
305,lightware.co.za,subdomains,23.227.38.32,,28,4261192,133,102,0,2,130,122,25,3132,3131,1790,1,404,0,0,0,8,165,140
306,roseandcoyjapan.com,subdomains,,,8,20150705,21,5,0,0,32,30,5,55,55,37,0,0,0,0,0,0,18,3
307,rumbatime.com,subdomains,23.227.38.32,,47,820017,629,481,0,3,526,453,28,5211,5092,1127,119,534,0,0,0,9,1189,1470
308,scooterdepo.co,subdomains,23.227.38.65,,,,6,0,0,0,6,6,7,28,28,28,0,0,0,0,0,0,45,20
309,shoplessons.com,subdomains,23.227.38.32,,20,8225000,91,59,0,0,77,70,12,283,211,84,72,14,0,0,0,0,1049,2284
310,turkeystores.com,subdomains,23.227.38.65,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,mondayswimwear.com,subdomains,23.227.38.32,,39,1564524,391,306,0,0,359,297,18,2494,2461,392,33,173,0,0,0,0,6233,9926
312,herbivorebotanicals.com,subdomains,23.227.38.32,,71,76979,3260,2889,1,2,2147,1588,178,23178,23092,2920,39,2416,0,44,2,3,13146,51312
313,bottleneckgallery.com,subdomains,23.227.38.32,,55,368205,1210,1004,0,5,1006,857,91,150015,150001,2106,14,82451,0,0,0,49,15478,7768
314,kbdfans.com,subdomains,23.227.38.65,,39,1557513,353,205,1,0,363,338,41,6708,4883,1566,1817,62,0,0,4,0,9869,36589
315,escortradar.com,subdomains,23.227.38.32,,59,253415,2423,1753,0,5,2139,1622,50,105765,105646,19152,103,11720,1,15,0,912,12882,76013
316,timbuk2.com,subdomains,23.227.38.32,,71,74993,5365,4428,1,12,3998,3115,122,201742,201559,15540,160,10979,5,2,1,291,44361,117482
317,thepihut.com,subdomains,23.227.38.32,,72,60049,4740,3413,0,41,4342,3071,1442,175869,137338,11911,38345,5587,0,0,0,176,104839,178203
318,soccer-cases.com,subdomains,,,0,116959933,17,3,0,0,17,17,5,34,33,27,1,0,0,0,0,0,31,38
319,aiistore.com,subdomains,,,,,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
320,radioshack.com,subdomains,23.227.38.32,,77,18591,18086,14359,14,182,13815,8995,45,764901,763294,214612,1409,27014,44,33,292,1502,195735,465437
321,gravityblankets.com,subdomains,23.227.38.32,,59,270299,898,726,0,4,860,719,54,48115,48054,678,61,74,0,0,0,18,6435,67594
322,liquid-iv.com,subdomains,23.227.38.32,,48,769626,626,464,0,1,624,523,117,25425,25374,17682,50,16975,0,0,0,1,7511,18660
323,mackweldon.com,subdomains,23.227.38.32,,64,157150,1718,1131,0,2,1523,1230,26,50951,50366,12961,398,5558,0,42,0,3,15704,55519
324,metathreads.com,subdomains,23.227.38.32,,49,684761,693,382,1,1,721,610,28,999722,999657,2785,64,187992,0,1,1,65,19247,33343
325,backtobasics.bio,subdomains,23.227.38.32,,10,16416978,11,8,0,0,11,11,11,74,74,53,0,0,0,0,0,0,766,321
326,credobeauty.com,subdomains,23.227.38.32,,68,116877,2077,1755,0,5,1468,1153,153,24594,24439,7953,153,3997,0,2,0,9,22375,17336
327,marinelayer.com,subdomains,23.227.38.32,,59,249680,1142,930,0,1,920,771,36,9417,9326,2405,87,2539,2,0,0,2,20045,38478
328,alphaclothing.co,subdomains,23.227.38.64,,12,13934073,176,54,0,0,171,160,6,1285,1283,1084,2,78,0,0,0,0,5407,18234
329,4patriots.com,subdomains,23.227.38.32,,52,512488,352,144,0,0,225,192,23,16147,16073,8628,74,44,0,0,0,0,1385,6404
330,clivecoffee.com,subdomains,23.227.38.32,,42,1164339,870,670,0,3,750,648,62,81480,81375,1286,11,3134,11,1,0,194,25465,21477
331,dsaawq.com,subdomains,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
332,nexusbaby.com,subdomains,23.227.38.32,,7,21927909,5,1,0,0,3,3,12,11,7,6,3,0,0,1,0,0,13,0
333,raen.com,subdomains,23.227.38.32,,61,206577,1074,915,0,0,785,657,475,20400,20034,2782,366,2834,0,0,0,0,9663,7517
334,equilibriumnutrition.com,subdomains,23.227.38.32,,45,935148,177,133,0,0,188,173,35,101099,99157,8734,250,8532,0,0,0,0,4514,2024
335,yogaclub.com,subdomains,23.227.38.32,,46,850336,485,342,0,0,482,417,285,3681,3543,513,135,1291,0,0,0,0,6879,8766
336,wondermakershop.com,subdomains,23.227.38.32,,7,20983923,122,51,0,0,115,108,11,3853,3637,1606,216,0,0,0,0,0,1267,1729
337,nobullproject.com,subdomains,23.227.38.32,,49,713825,576,370,0,1,575,493,19,15112,15050,2852,61,9563,0,0,0,1,25676,27256
338,emojiisland.com,subdomains,23.227.38.32,,34,2414907,498,323,0,13,510,431,11,70595,70584,2097,11,339,0,0,0,122,44278,79734
339,taylorstitch.com,subdomains,23.227.38.32,,70,92491,1458,1194,0,1,1157,962,224,46085,45951,10612,129,7248,0,2,0,6,14872,37134
340,coastalscents.com,subdomains,23.227.38.32,,57,312851,5013,4430,0,4,1747,1416,26,276688,273374,21679,3278,18338,0,17,0,25,10080,39256
341,puffy.com,subdomains,23.227.38.32,,33,2811236,2843,233,3,39,2673,1950,43,16834,16772,12723,60,273,2,0,12,285,12006,12263
342,supergoop.com,subdomains,23.227.38.32,,66,140856,2232,1871,0,1,1549,1201,41,21254,21201,4905,53,4329,0,0,0,571,12394,15593
343,superheroic.com,subdomains,23.227.38.32,,32,2994890,225,172,0,0,214,196,16,632,628,143,4,16,0,0,0,0,803,896
344,dipyourcar.com,subdomains,23.227.38.32,,51,541525,2279,1209,0,16,2149,1575,32,169757,169534,30472,223,91847,0,0,0,106,21633,56917
345,shinesty.com,subdomains,23.227.38.32,,58,281277,1564,1209,0,15,1505,1146,37,70760,70673,2671,87,516,0,0,0,3270,125739,118946
346,turmswear.com,subdomains,23.227.38.32,,16,10413431,58,22,0,0,60,60,5,238,232,176,5,12,0,0,0,0,8669,8016
347,helaown.com,subdomains,23.227.38.32,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,expressdeal.net,subdomains,23.227.38.32,,,,2,1,0,0,2,2,7,4,4,2,0,0,0,0,0,0,0,0
349,fcpxfree.com,subdomains,23.227.38.32,,19,8650137,151,68,0,1,137,131,137,604,591,380,11,2,2,0,0,3,5845,4709
350,westcoastvapesupply.com,subdomains,23.227.38.32,,49,700936,646,476,0,3,610,507,46,44537,44460,2643,55,225,0,1,0,851,23604,58946
351,exportleftovers.com,subdomains,23.227.38.32,,29,3854236,130,47,0,0,127,119,18,887,854,662,29,37,2,2,0,0,5384,44726
352,casesmaster.com,subdomains,23.227.38.32,,,,10,0,0,0,6,6,7,33,32,32,0,0,0,1,0,0,586,125
353,powerdot.com,subdomains,23.227.38.32,,46,886972,508,391,0,1,539,490,75,14974,14944,515,26,12802,0,4,0,2,6807,7039
354,loveyourmelon.com,subdomains,23.227.38.32,,68,114473,1605,1314,0,61,1182,940,87,9639,9299,1404,237,668,103,0,0,346,36037,57349
355,limitedrungames.com,subdomains,23.227.38.32,,57,306839,2061,1621,0,0,1959,1560,65,509225,509160,9755,65,884,0,0,0,0,76552,146510
356,quadlockcase.com,subdomains,27.124.125.18,,62,191340,1050,705,0,0,990,843,266,18019,17995,3007,20,1883,4,0,0,0,25483,33076
357,bandolierstyle.com,subdomains,23.227.38.32,,33,2714225,364,242,0,0,353,303,10,4084,4005,1431,79,475,0,0,0,0,4680,9507
358,kirnazabete.com,subdomains,23.227.38.32,,60,246088,2034,1831,0,1,1167,989,28,138288,120922,33113,9984,28902,0,0,0,2,4574,1534
359,msftsrep.com,subdomains,23.227.38.32,,34,2548090,596,436,0,3,574,498,12,55973,55967,497,6,95,0,0,0,9343,2775,19540
360,dannyduncan69.com,subdomains,23.227.38.32,,12,14094884,287,113,0,0,301,262,7,3833,3827,2846,6,24,0,0,0,0,12887,31916
361,obsessedgarage.com,subdomains,23.227.38.32,,29,3905534,217,93,0,0,203,184,75,3653,3497,566,156,102,0,0,0,0,10088,10052
362,bearmattress.com,subdomains,23.227.38.32,,44,979071,620,430,0,0,624,539,193,3006,2910,1193,96,352,0,0,0,0,9677,8522
363,vertagear.com,subdomains,23.227.38.32,,50,661172,654,399,0,5,668,565,189,11320,11268,3262,47,2645,0,5,0,12,5717,48083
364,vervecoffee.com,subdomains,23.227.38.32,,67,125197,1680,1443,0,5,1234,1041,117,19101,18794,7401,307,353,0,0,0,8,3599,13644
365,kreatools.com,subdomains,23.227.38.32,,0,76102347,28,6,0,0,21,21,9,169,169,55,0,0,0,0,0,0,463,2138
366,chanluu.com,subdomains,23.227.38.32,,56,334133,1462,1259,0,3,859,745,175,32442,32365,5054,42,4084,0,35,0,26,12607,10839
367,shopmissa.com,subdomains,23.227.38.32,,47,815715,1257,856,0,0,912,698,85,43378,42913,20110,448,1567,15,1,0,0,73140,216303
368,roseskinco.com,subdomains,23.227.38.65,,5,26811411,39,18,0,0,40,40,20,106,105,57,1,2,0,0,0,0,382,48
369,chesshouse.com,subdomains,23.227.38.32,,50,645958,970,647,0,5,801,693,157,44769,44620,2917,134,2091,5,5,0,21,26123,49421
370,paskho.com,subdomains,23.227.38.32,,29,3960756,150,88,0,0,135,124,32,480,470,224,10,9,0,0,0,0,2633,1581
371,artresin.com,subdomains,23.227.38.32,,59,247629,500,328,1,0,385,324,136,6516,6352,818,115,66,0,0,1,0,17862,41682
372,thebrick.com,subdomains,23.227.38.32,,60,230062,2272,1611,3,12,1919,1448,185,1902289,1715517,40511,5317,27958,91,156434,29,33,196983,223729
373,sainsmart.com,subdomains,23.227.38.32,,55,362518,1994,1081,1,18,1789,1350,146,38039,36467,9836,1440,1647,0,9,8,128,22177,12359
374,lacolombe.com,subdomains,23.227.38.32,,72,63609,3894,3317,0,11,3050,2381,921,321557,321450,5756,104,234663,3,0,0,75,21081,30869
375,lighterusa.com,subdomains,23.227.38.32,,33,2715068,524,323,0,3,510,431,82,58245,57943,2151,298,410,4,0,0,9369,41573,72965
376,ofmercer.com,subdomains,23.227.38.32,,34,2490127,340,241,0,1,338,289,567,2623,2611,798,12,224,0,0,0,1,5546,5248
377,quayaustralia.com,subdomains,23.227.38.32,,63,183002,2466,2139,0,1,1590,1191,33,25957,25735,5983,220,3380,0,2,0,3,27168,121983
378,shadyrays.com,subdomains,23.227.38.32,,50,665948,330,202,1,0,313,270,13,2720,2691,881,28,288,0,0,1,0,5920,30037
379,turntablelab.com,subdomains,23.227.38.32,,67,121686,4201,3471,2,8,2704,2127,85,318320,317897,9206,392,6131,4,0,75,33,133880,109764
380,cellularoutfitter.com,subdomains,23.227.38.32,,41,1225446,713,388,0,3,660,569,107,13049,12854,7006,182,1565,3,0,0,5,58610,108007
381,oakbaystore.com,subdomains,23.227.38.32,,0,83530211,24,3,0,0,15,14,3,44,43,39,0,2,0,1,0,0,14,116
382,osom.com,subdomains,23.227.38.32,,54,433024,299,205,0,0,324,283,23,135663,33537,17522,102124,25652,0,2,0,0,32663,92554
383,ejuice.deals,subdomains,23.227.38.32,,55,375106,1486,797,1,9,1264,981,154,76774,75962,19248,801,12118,0,11,1,64,35452,167844
384,bodyspray.fr,subdomains,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,drjoedispenza.com,subdomains,23.227.38.32,,70,85574,2745,2386,0,3,1938,1555,117,28129,28091,2375,16,264,9,0,0,8,11535,49732
386,freeflyapparel.com,subdomains,23.227.38.32,,37,1908973,485,366,1,2,507,433,159,66985,66897,2092,68,4575,0,20,1,11,5077,5297
387,statebicycle.com,subdomains,23.227.38.32,,52,495976,1085,863,1,1,986,841,333,93361,93326,1529,35,976,0,0,2,28,25034,26560
388,tonybianco.com,subdomains,23.227.38.32,,51,562819,1513,1293,0,1,1020,848,34,275652,270042,10471,5609,244419,0,1,0,1,35529,41348
