IP Range,23.227.38.0 - 23.227.38.255,,https://myip.ms/browse/sites/1/ipID/23.227.38.0/ipIDii/23.227.38.255/sort/6/asc/1#top,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Domain Info,,,,,,,,,,,,,,,,,SEO,,,,,,
No,Web Site,Website IP Address,Web Hosting Company / IP Owner,Web Hosting / Server IP Location,Web Hosting City,World Site Popular Rating,World Site Popular Rating (MyIP),Alexa Global Ranking,TLD,Company Name (Clearbit),Description (Clearbit),Selling?,Country (Clearbit),Category,SIC (Standard Industrial Classification),NAICs,Estimated Revenue (Clearbit),Reported Revenue (Clearbit),Brand Search Volume (Keywords Everywhere),Referring Domains (Ahrefs),Backlinks (Ahrefs),Keywords (Ahrefs),Traffic (Ahrefs)
221,roolee.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 48,465","48,465",59444,com,ROOLEE,"Roolee is a womenâ€™s clothing brand inspiring self-love and genuine sisterhood. Shop the latest assortment of clothing, accessories, home decor, kids, and so much more. Free shipping on orders over $100.",,US,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,$1M-$10M,,,861,16072,32433,23959
222,littlekinggoods.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 48,633","48,633",226561,com,Little King Goods,"Little King Goods is a Canadian brand built on 100% handmade leather products. We handcraft many items including; leather wallets, journals, satchels, tote bags, belts, and more. We pride ourselves by ethnically sourcing our materials.",,GB,Consumer Discretionary,Retail-Eating & Drinking Places,Accommodation and Food Services,,,,41,228,1074,1189
223,tymestyle.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 48,700","48,700",199634,com,TYME,Try TYME's hair straightener and curling combo to make hair care easy and fun. Titanium finish straightener that suits for all hair types and styles.,,US,Consumer Discretionary,,RetailTrade,$1M-$10M,,,523,15858,11426,15964
224,tluxe.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 48,794","48,794",303932,com,Tluxe,"Simple, sustainable & stylish wardrobe essentials in natural and organic fabrics. Designed with integrity & made to last!",,,Consumer Staples,Apparel & Other Finished Prods of Fabrics & Similar Matl,Manufacturing,,,,202,817,207,175
225,mgemi.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 48,965","48,965",67163,com,M.Gemi,"Handmade, Italian Men's and Women's Shoes. Heels, Pumps, Sneakers, Moccasins, Drivers, Flats, Sandals, Mules, Boots, Booties, Oxfords, Loafers. Leather, Suede.",,US,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,$1M-$10M,,,1243,35920,12457,17528
226,tokersupply.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 48,974","48,974",181238,com,Toker Supply â„¢,"Toker Supply is the most popular online head shop offering FREE DISCREET SHIPPING on all orders! Shop the lowest prices on bongs, dab rigs, glass pipes, vaporizers, dab nails and more!",,US,Consumer Staples,Retail-Miscellaneous Retail,RetailTrade,,,,216,8333,25621,68969
227,harney.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 49,035","49,035",112115,com,Harney & Sons Fine Teas,"Shop over 300 tea blends, tea gifts, treats and teaware online from Harney & Sons Tea. Tea bags and loose leaf black tea, green tea, herbal tea, white tea.",,US,Consumer Discretionary,Retail-Eating & Drinking Places,Accommodation and Food Services,$10M-$50M,,,3491,201130,44137,66842
228,organifishop.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 49,036","49,036",70783,com,Organifi,"Organifi Green Juice Gently Dried Superfood Greens Powder. Get all your healthy superfoods in one glass...with No Blending, No Juicing, and No Cleanup",,US,Consumer Staples,Food and Kindred Products,Manufacturing,$10M-$50M,,,838,280585,5589,11446
229,killstar.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 49,065","49,065",55889,com,KILLSTAR,"Clothing & Lifestyle company with a twist of darkness, channeling emotional power and raw energy into every thread.",,GB,Consumer Staples,Wholesale-Durable Goods,WholesaleTrade in United States,,,,906,34681,65528,130482
230,mohawkgeneralstore.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 49,489","49,489",360637,com,Mohawk General Store,"Mohawk General Store features curated collections from SMOCK, Dries Van Noten, Mansur Gavriel, Engineered Garments, Acne, Nonative, Kathleen Whitaker and more",,US,Consumer Goods,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,,1143,19654,5352,5559
231,perlescorner.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 49,834","49,834",3384776,com,Perles Corner,"Perles et apprÃªts de qualitÃ© en or, laiton et argent 925 pour vos crÃ©ations de bijoux. DÃ©couvrez nos tutoriels bijoux, nos vidÃ©os DIY en ligne et Ã Paris.",,FR,,,,,,,238,43227,2940,5137
232,mizzenandmain.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 49,846","49,846",59378,com,Mizzen+Main,"Mizzen and Main is an American clothing company that specializes in performance menswear: performance fabric dress shirts, blazers, jeans, and casual shirts online and in United States retailers, i .",,US,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,$10M-$50M,,,868,20936,11830,14180
233,thrivecausemetics.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 49,851","49,851",58112,com,Thrive Causemetics,"Thrive Causemetics offers luxury high-performance cosmetics. For every product you purchase, we donate to help a woman thrive.",,US,Consumer Discretionary,Chemicals & Allied Products,Manufacturing,$1M-$10M,,,1173,9275,13943,53255
234,elevatedfaith.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 49,925","49,925",86938,com,Elevated Faith,"Shop Elevated Faith for the latest Christian jewelry and apparel including t-shirts, bracelets, rings & more. We give a portion of every sale to faith-based organizations.",,US,,Retail-Miscellaneous Retail,RetailTrade,,,,200,14893,7918,17425
235,bollandbranch.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 50,632","50,632",68537,com,Boll & Branch,"Boll & Branch is a privately held, US based, e-commerce company that sells luxury bedding online.",,US,Homefurnishing Retail,,"Professional, Scientific, and Technical Services",$10M-$50M,,,1550,16490,43403,44283
236,willowsoul.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 50,706","50,706",121627,com,,"You were guided here to find the spiritual meanings and reasons of why you are seeing angel numbers: 11:11, 111, 222, 333, 444, 555, 666, 777, 888, 999.",,,,Non-Operating Establishments,,,,,245,1392,31913,215855
237,mallormalls.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 50,805","50,805",720046,com,,,,,,,,,,,7,18,88,2
238,brixtonbaker.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 51,395","51,395",467889,com,Brixton Baker,"Shop BrixtonBaker.com for the latest Designer Handbags, Accessories, and More.",,US,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,,290,41694,8244,4107
239,cohina.net,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 51,439","51,439",635579,net,COHINA@155cmä»¥ä¸‹ã®ãŸã‚ã®æ´‹æœ,150cmå‰å¾Œã®å°æŸ„å¥³æ€§ãŒæœ€ã‚‚ç¾Žã—ãè¦‹ãˆã‚‹ã€ã“ã ã‚ã‚Šã®è©°ã¾ã£ãŸãŠæ´‹æœã‚’ãŠå±Šã‘ã—ã¾ã™ðŸ‘—ðŸ’ #COHINA #COHINAã‚³ãƒ¼ãƒ‡ ï½œãŠå•ã„åˆã‚ã›ã¯SHOPå†…ã®ãƒ•ã‚©ãƒ¼ãƒ ã‹ã‚‰â†“,,,,,,,,,76,522,4097,2967
240,kindred.jp,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 51,647","51,647",3372813,jp,Kindred,,,JP,,,,,,,14,20,22,52
241,mintcrew.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 51,713","51,713",1528520,com,MintCrew,MINTCREW is an Independent street fashion label formed by young creatives band together through visual arts and storytelling style. #mintcrew,,,,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,,30,86,122,3532
242,siberiahills.eu,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 51,855","51,855",565438,eu,,Siberia Hills by Daf Orlovsky.,,,,,,,,,78,149,331,1122
243,roadid.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 52,044","52,044",115086,com,ROAD iD,"ROAD iD is the premier line of safety identification tags and bracelets for runner id, cyclist id, medical id, bicycling id, and emergency medical id",,US,Consumer Discretionary,"Search, Detection, Navigation, Guidance, Aeronautical Sys",Manufacturing,$1M-$10M,,,5391,509024,19338,40339
244,wildone.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 52,159","52,159",183344,com,Wild One,"Essentials for pets and their people. Free shipping, free returns.",,,Retailing,,,$1M-$10M,,,286,1473,2556,1458
245,kontrolfreek.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 52,210","52,210",165352,com,KontrolFreek,KontrolFreekÂ® is the leading creator of performance gaming gear and controller accessories that give players at all skill levels a competitive advantage.,,US,Consumer Goods,"Search, Detection, Navigation, Guidance, Aeronautical Sys",Manufacturing,$1M-$10M,,,1794,95160,33345,57099
246,baboontothemoon.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 52,261","52,261",117876,com,BABOON,"BABOON is an adventure brand - we make versatile, technical and radical duffel bags. All with a lifetime warranty and free shipping in the US.",,US,Retailing,,,$1M-$10M,,,135,761,1506,845
247,shrevecrumpandlow.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 52,514","52,514",576891,com,"Shreve, Crump & Low","The Gem of Boston and America's oldest jeweler. Fine luxury diamonds, authorized new and pre-owned watches, engagement rings, earrings, vintage/antique estate jewelry, giftware, pearl, ruby, sapphire, sapphire. Greenwich CT",,US,"Apparel, Accessories & Luxury Goods",Retail-Miscellaneous Retail,RetailTrade,$1M-$10M,,,516,12089,12356,4468
248,dankstop.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 52,631","52,631",140143,com,DankStop,"The Best Online Headshop, offering FREE SAME-DAY USA SHIPPING as well as the lowest prices on bongs, dab rigs, vaporizers, glass pipes, bubblers, and more!",,US,Consumer Discretionary,Retail-Miscellaneous Retail,RetailTrade,$1M-$10M,,,436,1288156,37220,80381
249,ruffwear.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 52,640","52,640",106524,com,Ruffwear,"Building dog gear to enhance your outdoor adventures. Trail tested & rugged dog boots, dog coats, dog harnesses, dog life jackets and much more.",,US,Consumer Goods,Retail-Miscellaneous Retail,RetailTrade,$1M-$10M,,,3585,109918,38567,78373
250,cheznoir.ca,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 52,943","52,943",4523007,ca,Chez Noir,Canadaâ€™s premier latex clothing & fetish specialty store. We sell latex clothing & sex toys for all your playtime & fetish needs. Quality latex at affordable prices.,,CA,Consumer Staples,Retail-Miscellaneous Retail,RetailTrade,,,,39,175,1011,586
251,magicspoon.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 53,010","53,010",84868,com,,"Magic Spoon cereal is High-Protein, Low-Sugar, Keto-Friendly, Non-GMO, Gluten-Free, Grain-Free, Soy-Free, Wheat-Free, Nothing Artificial, Childlike Cereal for Grown-Ups. Available in cinnamon, cocoa, frosted, and fruity flavors.",,,,,,,,,450,2393,2261,2646
252,kaylaitsines.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 53,115","53,115",129740,com,Kayla Itsines,"Starting with the Bikini Body Guides is SO simple! Join Sweat With Kayla for access to workouts, recipes, shopping lists and so much more!",,AU,Health & Wellness,Services-Health Services,Health Careand Social Assistance,$10M-$50M,,,4263,45175,93622,145976
253,answellness.com.hk,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 53,235","53,235",1736258,com.hk,,"ç´”å¤©ç„¶, 100% æ¾³æ´²è£½é€ , ç‚ºä½ çš„é‹å‹•è¡¨ç¾èˆ‡å¥åº·, æä¾›ç„¡ç›¡èƒ½é‡èˆ‡è›‹ç™½è³ª natural, 100% made in Australia. Provide protein and energy for your great performances.",,HK,,,,,,,13,57,259,268
254,molchanovs.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 53,626","53,626",1034742,com,Molchanovs,Home to the world's best freediving fins - both monofin and bifins. Quality freediving wetsuits and accessories. Equipment tested and developed by World Champion Freediver Alexey Molchanov. Freediving courses and training materials designed and develop...,,RU,Sporting Goods,"Search, Detection, Navigation, Guidance, Aeronautical Sys",Manufacturing,$1M-$10M,,,58,618,928,290
255,embrlabs.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 54,123","54,123",207310,com,Embr Labs,"The Embr Wave bracelet helps you feel colder or warmer at the press of a button. Your own personal thermostat, directly on your wrist. Founded at MIT. Join the thermal wellness movement.",,US,Consumer Discretionary,"Search, Detection, Navigation, Guidance, Aeronautical Sys",Manufacturing,$1M-$10M,,,991,4136,3833,6258
256,katyperrycollections.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 54,242","54,242",60666,com,,"This Is How We Do... Shoes! Express yourself when you shop Katy Perry's Footwear Collection, designed from the creative mind of the musician herself!",,US,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,,739,13080,7898,11975
257,naturalbabyshower.co.uk,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 54,406","54,406",52350,co.uk,Natural Baby Shower,Natural Baby Shower specialise in natural products for you & your baby. Shop online now for gentle and eco-friendly baby products your family can trust,,GB,Consumer Discretionary,Retail-Miscellaneous Retail,RetailTrade,$1M-$10M,,,480,3937,40191,45304
258,movophoto.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 54,482","54,482",80369,com,Movo Photo,Movo Photo is your trusted source for pro audiovisual equipment and smartphone compatible gear. Discover our innovative bundles to get all of your audio and camera accessories to start sharing your stories with the world!,,US,Consumer Electronics,Electronic & Other Electrical Equipment (No Computer Equip),Manufacturing,$0-$1M,,,453,48971,16516,4303
259,mous.co,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 54,601","54,601",43211,co,Mous,"The Only Case You'll Ever Need. Protective iPhone & Samsung Galaxy Phone Cases With Our Thoroughly Tested AiroShockâ„¢ Technology. Our Cases Come In Real Materials Including Aramid Fibre, Leather, Bamboo, Walnut and Shell. Free Shipping Within The USA.",,GB,Internet,Leather & Leather Products,Manufacturing,$1M-$10M,,,699,4711,21573,40328
260,ikonick.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 54,758","54,758",72002,com,IKONICK,"Entrepreneur-inspired art and canvas prints perfect for gyms, offices, real estate offices, man caves, lady dens, and more. Turn empty walls into inspiration.",,US,"Apparel, Accessories & Luxury Goods",Blank Checks,FinanceandInsurance,$1M-$10M,,,305,1179,13681,8633
261,cutsclothing.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 54,805","54,805",88583,com,Cuts Clothing,Premium Men's T-Shirts - Active Comfort Meets Everyday Life,,,Consumer Staples,Apparel & Other Finished Prods of Fabrics & Similar Matl,Manufacturing,$0-$1M,,,126,295,4008,7933
262,groundcontrolcolor.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 55,098","55,098",158076,com,Ground Control,"Color grading LUTs for DJI, Canon, GoPro, Sony, Blackmagic, Panasonic and more. Film style LUTs for color grading in DaVinci Resolve, Adobe Premiere, Final Cut Pro, Photoshop, and After Effects! Emulate the look of film, quickly color correct S-Log 2,...",,,Internet Software & Services,Services-Advertising,"Professional, Scientific, and Technical Services",,,,266,2613,3246,3376
263,juicestore.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 55,293","55,293",99461,com,,"JUICESTORE by Edison Chen and Kevin Poon is a multi-label store, curated with the latest streetwear fashion brands, aimed to bridge Eastern and Western cultures. Check it out.",,,,,,,,,364,191025,12019,10541
264,femmeluxefinery.co.uk,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 55,525","55,525",125559,co.uk,Femme Luxe,Affordable fashion at Femme Luxe with the latest trends in womens clothing and luxe style dresses,,GB,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,$0-$1M,,,1098,62126,42756,42683
265,alphadog.it,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 55,574","55,574",1028599,it,AlphaDog IT,"ALPHADOG is the leading online destination for contemporary fashion and streetwear. Shop streetwear, techwear, combat-wear, sneakers, accessories and the arts at our store.",,IT,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,,42,178,324,79
266,gouletpens.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 55,653","55,653",52776,com,The Goulet Pen Company,"Goulet Pens provides fountain pen enthusiasts the most personal online shopping experience through comprehensive education, exemplary service, and products we believe in. We offer thousands of fountain pens, inks, paper, and accessories to get you writ...",,US,Retailing,Retail-Miscellaneous Retail,RetailTrade,$1M-$10M,,,2154,461996,55748,192052
267,atoms.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 55,701","55,701",119836,com,Atoms,"Ideal everyday. Atoms are the worldâ€™s first shoes to come in quarter sizes to ensure a perfect fit. The unisex shoes have a simple, classic design that works with your style.",,US,"Apparel, Accessories & Luxury Goods",Apparel & Other Finished Prods of Fabrics & Similar Matl,Manufacturing,,,,373,35734,1580,1132
268,productlistgenie.io,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 55,988","55,988",55146,io,,,,,,,,,,,43,171,16,74
269,shopsoko.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 56,205","56,205",107671,com,Soko,"SOKO produces innovative, ethical jewelry and accessories from sustainable materials in Nairobi, Kenya",,US,Consumer Discretionary,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,$10M-$50M,,,978,9013,6136,14000
270,urbandictionary.store,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 56,261","56,261",120242,store,,,,,,,,,,,552,36121760,1961,118517
271,ghostlifestyle.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 56,307","56,307",80690,com,GHOST,"GHOSTÂ® at its simplest form is the world's first lifestyle sports nutrition brand. the name GHOSTÂ® and mantra ""be seen"" come from that feeling of being behind the scenes and wanting to be heard, wanting to make an impact; we're all ghosts. This is our ...",,US,Health & Wellness,Services-Health Services,Health Careand Social Assistance,$1M-$10M,,,329,3343,8466,31621
272,indestructibleshoes.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 56,361","56,361",62204,com,,GET THE AUTHENTIC INDESTRUCTIBLE SHOESâ„¢ today and help us to kick the KNOCK-OFF out! Be aware of the copycat out there the ORIGINAL shoes only available on our website.,,US,,,,,,,181,1382,3346,8115
273,aafnation.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 56,388","56,388",174923,com,American AF,"Patriotic apparel and gear for men and women. The best Fourth of July shirts, tanks, and hoodies in the land. We love America. We are American AF.",,US,,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,,587,46474,27184,46811
274,breazy.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 56,393","56,393",67865,com,Breazy,"Visit Breazy.com to get everything you need for electronic cigarettes including e liquid, e juice, vape kits, and mods. Free U.S. shipping on orders over $50.",,US,Consumer Staples,"Security & Commodity Brokers, Dealers, Exchanges & Services",FinanceandInsurance,$1M-$10M,,,827,155986,84534,106764
275,chilitechnology.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 56,394","56,394",111426,com,ChiliSleep,"The chiliPAD and OOLER allow you to cool or heat the temperature of your mattress so you'll never be too hot or too cold. Increase recovery, up to double your deep sleep and experience life-changing sleep tonight.",,US,Consumer Discretionary,Household Furniture,Manufacturing,$0-$1M,,,1265,59727,9508,12295
276,tula.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 56,410","56,410",101978,com,TULA Skincare,"Clean + effective probiotic skincare made with superfoods. Get your healthiest, brightest skin ever with 15% off your first order & email signup.",,US,Consumer Discretionary,Chemicals & Allied Products,Manufacturing,$10M-$50M,,,1165,13245,12255,13090
277,frame-store.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 56,477","56,477",119108,com,FRAME,"Inspired by London, crafted in Los Angeles. Shop the collection of Denim, Clothing & Accessories. Free shipping & returns in the U.S.",,US,Consumer Staples,,"Professional, Scientific, and Technical Services",,,,1093,20338,30567,30889
278,zplus.store,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 57,190","57,190",6763169,store,,,,,,,,,,,1,1,33,1
279,perriconemd.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 57,272","57,272",141378,com,Perricone MD,"Perricone MD is the global leader in anti-aging skincare, with all products based on Dr. Nicholas Perricone's years of groundbreaking research and multiple patents.",,US,Consumer Discretionary,,RetailTrade,$10M-$50M,,,3450,90046,23560,9669
280,goodamerican.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 57,296","57,296",95095,com,GOOD AMERICAN,"Shop the collection of premium denim, workout clothing, bodysuits & more from Good American. Designed for a curvier, sexier and stronger shape. All our products are available in a full size range.",,US,Internet Software & Services,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,$1M-$10M,,,1457,28075,46243,91240
281,electricfireplacesdepot.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 57,549","57,549",497293,com,,"Buy Electric Fireplaces Online Today. Amazing Deals on Brand Name Electric Fireplaces that are vent free and smoke free. Electric Fireplace Inserts, Mantels, Logs, Fireboxes and Heaters all in stock. Wall mount, plug in, built in, indoor and outdoor, F...",,US,,,,,,,44,206,1961,332
282,volcom.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 57,677","57,677",57960,com,Volcom,"Volcom is a lifestyle brand that designs, markets, and distributes boardsports-oriented products.",,US,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,,5241,946936,143788,134589
283,hanon-shop.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 57,740","57,740",53215,com,HANON,"HANON provides limited edition, and hard to find sneakers. We are regarded as a number 1 source by the sneaker community.",,GB,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,,2000,134223,108023,59320
284,igloocoolers.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 57,967","57,967",142332,com,Igloo Coolers,"Shop Igloo for the best beverage coolers, ice chests and insulated cooler bags. Need a durable cooler with wheels? Check out the Trailmate all-terrain cooler.",,US,Consumer Discretionary,,Manufacturing,,,,1945,44394,31534,104418
285,charmeric.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 58,485","58,485",491414,com,,,,,,,,,,,27,97,595,348
286,fancyplus.shop,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 58,492","58,492",3357137,shop,,,,,,,,,,,3,48,13,0
287,aulitfinelinens.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 58,510","58,510",338209,com,Au Lit Fine Linens,"Egyptian cotton linens, woven in Europe and custom sewn in Canada. We change the way you sleep.",,CA,Consumer Discretionary,Retail-Miscellaneous Retail,RetailTrade,$1M-$10M,,,463,2890,24528,15659
288,faravillsoy.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 58,583","58,583",3328510,com,,,,,,,,,,,1,1,22,32
289,zag-store.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 58,593","58,593",637234,com,,"The Official Online Store for Zag Studio productions such as Miraculous Ladybug and Cat Noir, Zak Storm, Ghost Force, and other Zag Heroez.",,,,,,,,,40,327,5026,6067
290,ravpower.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 58,672","58,672",96521,com,RAVPower,"RAVPower is an American consumer electronics brand founded in 2011 and owned by Sunvalleytek, which is a branch of the Chinese owned Sunvalley Group.",,US,Consumer Electronics,Electronic & Other Electrical Equipment (No Computer Equip),Manufacturing,$1M-$10M,,,2679,59563,40179,50397
291,olukai.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 58,716","58,716",118456,com,OluKai,"OluKai started as a different approach to a footwear company. We wanted to create footwear that combines durability for the waterman, ocean lifestyle, and a brand that has strong values and roots with style, comfort, and craftsmanship.",,US,Consumer Staples,Leather & Leather Products,Manufacturing,$10M-$50M,,,1258,31905,30872,23960
292,labyrinthos.co,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 58,814","58,814",102725,co,Labyrinthos,"We create free tarot reading apps, tarot lessons, as well as design lavish, independently published tarot decks. Welcome to class!",,US,,Services-Advertising,"Professional, Scientific, and Technical Services",,,,572,2813,89084,563387
293,linusbike.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 58,859","58,859",257069,com,Linus Bike,60â€™s French bicycle design with modern California sensibility.,,US,Consumer Discretionary,,Manufacturing,$10M-$50M,,,1219,50553,11353,15232
294,morelabs.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 58,861","58,861",133049,com,More Labs,Reduce the negative effects of alcohol with our patent-pending blend of DHM. Backed by science.100% satisfaction guarantee. Free shipping. Buy now!,,US,Food,Retail-Food Stores,Accommodation and Food Services,$1M-$10M,,,707,3658,1958,8345
295,topodesigns.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 58,869","58,869",67972,com,Topo Designs,"Topo Designsâ€”Backpacks, bags, and apparel for anywhere on your map.",,US,Consumer Staples,,RetailTrade,$10M-$50M,,,2027,96175,29430,53547
296,stephaniegottlieb.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 59,065","59,065",275470,com,Stephanie Gottlieb Fine Jewelry,Stephanie Gottlieb designs and makes custom engagement rings. Our online store is a curated fine jewelry store.,,US,Consumer Discretionary,Retail-Miscellaneous Retail,RetailTrade,,,,415,47330,10405,7328
297,goorin.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 59,222","59,222",100906,com,Goorin Bros.,"Since 1895, Goorin Brothers have designed and manufactured the world's finest fedoras and flat caps. Use our hat fit guide and let us help you find the perfect hat.",,US,Consumer Staples,,RetailTrade,,,,2845,41653,35964,27619
298,altoessentials.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 59,274","59,274",969405,com,,"Alto Essentials elevate anything, anywhere, anytime. Our sophisticated yet simple basics are gently infused with cannabis extracts for endless applications. Meticulously designed single-serving packets are incredibly versatile and priced for everyday use.",,,,,,,,,27,71,51,6
299,ambsn.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 59,277","59,277",297441,com,ambsn,"ambsn designs and manufactures quality t-shirts, swim trunks, retro boardshorts & contemporary California menswear. Our design mantra 'New Wave Nostalgia' speaks strongly to a feeling, a memory of a time gone by.",,US,Consumer Goods,Apparel & Other Finished Prods of Fabrics & Similar Matl,Manufacturing,$10M-$50M,,,153,1127,972,1773
300,another20.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 59,287","59,287",3554384,com,ANOTHER 20,ANOTHER 20 ; Designer Brand Boutique that carries a wide variety of tastefully selected designer brand products.,,US,Consumer Staples,Food and Kindred Products,Manufacturing,,,,209,39407,172,17
301,denimunspun.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 59,468","59,468",1049539,com,,"unspun jeans are made on-demand, without sizes or standardization. we got rid of inventory and use only the most sustainable fabrics and methods to produce perfect fitting jeans stylized by you for you only.",,US,,,,,,,52,146,193,90
302,gxomens.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 59,622","59,622",353360,com,GXOMENS,,,,,,,,,,22,106,15662,14908
303,hippopotamus.co.jp,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 59,657","59,657",6017749,co.jp,,,,JP,,,,,,,116,590,505,2127
